"id_training_data";"id_berita";"id_topik";"berita";"training_class"
"5451";"1";"1";"20 Orang Terindikasi Masih Tertimbun Longsor Sukabumi";"None"
"5452";"2";"1";"Tabrakan Karambol di Sukoharjo, Seorang Bocah Tewas";"None"
"5453";"3";"1";"Detik-detik Bapak dan 2 Anaknya Tewas Tenggelam di Jurug Gue";"None"
"5454";"4";"1";"Polisi Sterilkan Akses ke Area Longsor Kampung Adat Sukabumi";"None"
"5455";"5";"1";"Peras Sekdes, Kades di Lamongan Kena OTT";"None"
"5456";"6";"1";"Ziarah Makam, Sandiaga Ingin Teladani Sifat Sunan Ampel";"None"
"5457";"7";"1";"Cuaca Buruk, Banyak Wisatawan di Karimunjawa Tak Bisa Pulang";"None"
"5458";"8";"1";"Libur Tahun Baru, Wahana Wisata di Surabaya Ini Ramai Diserbu Warga";"None"
"5459";"9";"1";"Dijanjikan Perbaikan Jalan ke TPST Piyungan, Aksi Blokir Disetop";"None"
"5460";"10";"1";"3 Wisatawan Tewas Tenggelam di Jurug Gue Bapak dan 2 Anak";"None"
"5461";"11";"1";"SAR: Ombak Pantai Gunungkidul Masih Aman untuk Wisatawan";"None"
"5462";"12";"1";"Jumlah Penumpang Bandara Yogya Selama 2018 Tembus 8,4 Juta Orang";"None"
"5463";"13";"1";"Polda Jabar Kirim Tim DVI Identifikasi Korban Longsor Sukabumi";"None"
"5464";"14";"1";"Lautan Warga Hambat Tim Saat Pencarian Korban Longsor Sukabumi";"None"
"5465";"15";"1";"Saat Sandiaga Beri Motivasi Emak-emak Pelaku UMKM di Surabaya";"None"
"5466";"16";"1";"Dihentikan Sementara, Korban Tewas Longsor Sukabumi 15 Orang";"None"
"5467";"17";"1";"Seniman Muda Banyuwangi Diundang Tampil di Festival Janadriyah";"None"
"5468";"18";"1";"Tiga Wisatawan Tewas Tenggelam di Air Terjun Jurug Gue Trenggalek";"None"
"5469";"19";"1";"Video Hubungan Intim Ancam Disebar, Wanita Bersuami Diperas Kekasih";"None"
"5470";"20";"1";"Sowan ke Ponpes di Sidoarjo, Sandi Diwejang Tingkatkan Ekonomi Umat";"None"
"5471";"21";"1";"Respons Denden soal Dipecat Golkar Garut Gegara Dukung Prabowo";"None"
"5472";"22";"1";"BNPB: 13 Meninggal dan 20 Jiwa Belum Ditemukan";"None"
"5473";"23";"1";"Kasus Aborsi di Bojonegoro, Seorang Pria Diamankan";"None"
"5474";"24";"1";"Pemda DIY Segera Perbaiki Jalan Rusak ke TPST Piyungan";"None"
"5475";"25";"1";"Dibesuk Sandiaga, Kades Pendukung: Pak Sandi Jangan Kendor";"None"
"5476";"26";"1";"Kagumi Drone Bikinan Pelajar SMK, Sandiaga: Ini Baru Milenial";"None"
"5477";"27";"1";"Terdampak Tsunami, Target Kunjungan Wisata di Gunungkidul Gagal";"None"
"5478";"28";"1";"Moratorium Dicabut, Pemkot Yogya Kembali Buka Izin Pembangunan Hotel";"None"
"5479";"29";"1";"1,5 Bulan, Polisi di Lumajang Tembak Kaki 9 Pelaku Kejahatan";"None"
"5480";"30";"1";"Tingkat Inflasi Kota Kediri Tahun 2018 Disebut Terendah se-Jawa Bali";"None"
"5481";"31";"1";"Napi Asal Nigeria Meninggal di Lapas Permisan Nusakambangan";"None"
"5482";"32";"1";"Mahasiswa yang Dikabarkan Kerja Paksa di Taiwan Tak Lewat Kemenristek";"None"
"5483";"33";"1";"Detik-detik Pelajar di Sidoarjo Kubur Bayinya Hidup-hidup";"None"
"5484";"34";"1";"Kabar Duka, Paman Presiden Jokowi Meninggal di Jeddah";"None"
"5485";"35";"1";"Hii... Mayat Pria Tanpa Kepala Ditemukan di Pantai Malang Selatan";"None"
